,C2N_Bio_Score,CF_AP_Score,Economic_Capital_Investment_Score,Economic_Consumption_Score,Economic_Employment_Score,Economic_Finance_Score,Economic_Innovation_Score,Economic_Production_Score,Economic_Re_Distribution_Score,Ecosystem_Air_Quality_Score,Ecosystem_Food__Fiber_and_Fuel_Provisioning_Score,Ecosystem_Greenspace_Score,Ecosystem_Water_Quality_Score,Ecosystem_Water_Quantity_Score,EDU_BE_Score,EDU_PA_Score,EDU_SED_Score,HEA_HC_Score,HEA_LEM_Score,HEA_LB_Score,HEA_PWB_Score,HEA_PMHC_Score,Domain_Score_x,LTM_AP_Score,LTM_TS_Score,LTM_WAA_Score,LST_BN_Score,LST_INC_Score,LST_WEA_Score,LST_WRK_Score,SAS_ACTS_Score,SAS_PERS_Score,SAS_RISK_Score,Domain_Score_y,SC_ATC_Score,SC_DME_Score,SC_FAM_Score,SC_SENG_Score,SC_SSUP_Score
C2N_Bio_Score,1,-0.767262081,-0.084715224,-0.191682162,-0.258966637,-0.205038672,-0.065911597,0.2458090805178693,-0.28348253,0.007094631,0.13071987649623298,-0.101816077,0.070118724,-0.041363463,-0.7780318,-0.814405586,-0.759504762,-0.045344815,-0.107567603,-0.086323134,-0.118183562,-0.253983997,0.4924305121452828,0.080911647,0.4982441361860383,0.5705497206382264,-0.366646474,-0.529939886,-0.138506776,-0.535214493,-0.104907451,-0.321253623,-0.105051006,-0.840260234,-0.586445446,-0.736468989,-0.818583773,-0.698857047,-0.87083861
CF_AP_Score,-0.767262081,1,0.17571930705663893,0.2990154098548592,0.2810242531249006,0.10255138794807821,0.036444551,-0.191472133,0.2827026542340398,0.068049136,-0.023067217,0.058883433782241534,0.020384125585946114,-0.058836826,0.7393947539368703,0.7039118664084836,0.7380661323499548,0.066171676,0.16257818477616992,0.1438651934613798,0.099493712,0.2719122949874059,-0.5873254,-0.179414164,-0.583209736,-0.58029291,0.3398736908715739,0.4503922255155941,0.08724951,0.5207239571459711,0.1578174522287303,0.37054413462421865,0.028471689160178202,0.7822097390051257,0.5918829501669266,0.6938329396596826,0.7546678362930497,0.7019097720381233,0.7051826152109131
Economic_Capital_Investment_Score,-0.084715224,0.17571930705663893,1,0.8117187267963719,-0.090473903,-0.250666119,-0.069925677,0.041137436,0.1258902027352323,0.3182299437450509,0.2045355847039634,0.088076917,0.21085292504118475,0.076402419,0.10427875465406229,0.067112532,0.10201229100324516,0.077652488,-0.145162031,-0.091551599,-0.093024254,-0.004033588,-0.333941992,-0.323099407,-0.088885683,-0.340364069,0.03252819,-0.31405891,-0.010592832,0.30290687550571543,0.047783475,0.08614297,-0.428583598,0.218048753,0.2866215355753616,0.3425906535329976,0.070776281,0.28714778088721465,0.002477663
Economic_Consumption_Score,-0.191682162,0.2990154098548592,0.8117187267963719,1,0.14535737112494937,-8.62E-05,0.005185414,-0.038416243,0.35737039609198507,0.4205559234181875,0.19873528730637666,0.059495182,0.2949689868278326,0.11110909535093053,0.2411776331312069,0.14995943843905604,0.25621418669628965,0.10002473235022118,-0.051407694,-0.038341353,-0.014126256,0.094565888,-0.443693988,-0.329814155,-0.18985819,-0.496287586,0.14230214279402792,-0.178826114,-0.040863873,0.45197578098177765,0.11507144493920139,0.25767400327628104,-0.395340064,0.39733024414526696,0.4668084073683794,0.49261893014336733,0.21040473040471225,0.45244613436421566,0.1473416433009775
Economic_Employment_Score,-0.258966637,0.2810242531249006,-0.090473903,0.14535737112494937,1,0.4446998900621922,0.1243514560924945,-0.276988669,0.32846107178095957,-0.105946812,-0.097479336,0.12533232478880127,-0.097455038,-0.076330718,0.21241638149333175,0.3670748096050181,0.18687609009031947,0.050955791,0.2997725854661142,0.15058508044016566,0.2715203458807083,0.3456231235552353,-0.003882344,0.24313272322553445,-0.187157839,-0.102872275,-0.013596585,0.4760997417044287,0.15589044343868944,0.12650993755567613,0.0676745,0.35812992253102216,0.19916228177522907,0.2416908449853236,0.16851952169443762,0.16456789682882567,0.19480061039795019,0.1852816546197581,0.31683442360121844
Economic_Finance_Score,-0.205038672,0.10255138794807821,-0.250666119,-8.62E-05,0.4446998900621922,1,0.11920708636819037,-0.31806956,0.20462935340928995,-0.214374852,-0.192840137,0.088784724,-0.191495423,0.051323731,0.062422648,0.17291898393674135,0.035483117194987465,-0.024378621,0.1271484901838846,0.049728816,0.18851960852530172,0.2157964552871323,0.17592510282543347,0.3058751212756725,-0.027141626,0.088105954,0.053452831,0.3945250207238963,0.077906078,-0.029752645,-0.055548183,0.12856446640662844,0.16886639563146003,0.073481079,-0.039622145,-0.012331743,0.11397532296060894,-0.017439471,0.26016849765108696
Economic_Innovation_Score,-0.065911597,0.036444551,-0.069925677,0.005185414,0.1243514560924945,0.11920708636819037,1,-0.065534386,0.093877174,-0.045763785,-0.08374454,0.004817771,-0.097008656,0.004713445,0.042869333549577136,0.091136248,0.027015482943377175,0.008351906,0.089882382,0.015629517886524558,0.088054093,0.098510594,0.031852748690904265,0.093718647,-0.01653626,-0.021903542,-0.052387544,0.131797655,0.07832893,0.055508183033699705,-0.017911225,0.078484013,0.083302311,0.060827791408286244,0.05960728,0.041107573438185566,0.04270498,0.03890103,0.080798836
Economic_Production_Score,0.2458090805178693,-0.191472133,0.041137436,-0.038416243,-0.276988669,-0.31806956,-0.065534386,1,-0.174978393,0.1782991990784601,0.20715555035933295,-0.104412784,0.2017035769369858,-0.111502527,-0.184874951,-0.331970881,-0.148051191,-0.076489006,-0.08264445,-0.118434792,-0.113220175,-0.123685895,-0.107614225,-0.163415284,-0.024584146,-0.033016527,-0.009347846,-0.421047197,-0.126849475,-0.028456635,-0.133309626,-0.17570928,-0.223507747,-0.153320554,-0.090945111,-0.057589524,-0.227390469,-0.043417539,-0.268729907
Economic_Re_Distribution_Score,-0.28348253,0.2827026542340398,0.1258902027352323,0.35737039609198507,0.32846107178095957,0.20462935340928995,0.093877174,-0.174978393,1,0.16068306191482082,-0.065584729,0.097080824,0.10488758757632947,0.081177943,0.36069559965613385,0.35042278228473034,0.3398984250219992,0.054288358,0.10962435961257329,0.03228323,0.083345553,0.19195975762893303,-0.335064664,-0.107454716,-0.290951855,-0.378376538,0.005243322,0.1519298541979994,0.059992102,0.35191090982247686,0.093188572,0.3036898763352283,-0.030061581,0.40291685076755984,0.38616716831675024,0.39576316164888026,0.28997848068880705,0.40931542293600853,0.28001207349206236
Ecosystem_Air_Quality_Score,0.007094631,0.068049136,0.3182299437450509,0.4205559234181875,-0.105946812,-0.214374852,-0.045763785,0.1782991990784601,0.16068306191482082,1,0.30743289211867714,-0.020067014,0.5114921420831292,-0.0055783,0.091181063,-0.061901271,0.14152601975495108,0.022302874001889912,-0.147569482,-0.079773069,-0.075973254,-0.052346504,-0.401116693,-0.392018559,-0.110081536,-0.399088211,0.13207064647211966,-0.402361369,-0.20719331,0.3657412163447205,0.093901121,0.12040261501083373,-0.388576611,0.24781050826102868,0.41197425441777286,0.32601189074133363,0.059445052,0.3135729781623955,-0.009341048
