state_name,county_name,fips,median_price,inventory
Tennessee,Cocke,47029,300000.0,89.0
Pennsylvania,Tioga,42117,228500.0,100.0
Kentucky,Pulaski,21199,384725.0,2.0
Georgia,Coffee,13069,266500.0,7.0
Oklahoma,Pawnee,40117,90000.0,42.0
Texas,Winkler,48495,222000.0,5.0
Nevada,Douglas,32005,785000.0,331.0
Pennsylvania,Indiana,42063,157000.0,101.0
Pennsylvania,Mifflin,42087,224900.0,5.0
Maine,Franklin,23007,280000.0,143.0
Indiana,Union,18161,76403.0,6.0
Kentucky,Jessamine,21113,550000.0,2.0
Michigan,Clinton,26037,307500.0,21.0
Texas,Palo Pinto,48363,339900.0,220.0
Ohio,Tuscarawas,39157,181000.0,2.0
Mississippi,Lowndes,28087,294900.0,6.0
Pennsylvania,Chester,42029,550000.0,573.0
Kentucky,Bath,21011,166450.0,36.0
Louisiana,Natchitoches Parish,22069,212500.0,3.0
Florida,Osceola,12097,340000.0,9.0
Iowa,Linn,19113,115000.0,11.0
Oklahoma,Le Flore,40079,129000.0,3.0
Indiana,Vermillion,18165,86000.0,32.0
Kentucky,Madison,21151,259000.0,257.0
New York,Fulton,36035,149200.0,138.0
Wyoming,Lincoln,56023,587500.0,100.0
California,Tulare,06107,250000.0,2.0
Wisconsin,Racine,55101,263500.0,306.0
Michigan,Gratiot,26057,172500.0,102.0
Missouri,Sullivan,29211,105700.0,5.0
Illinois,Adams,17001,127500.0,129.0
Kentucky,Butler,21031,171750.0,16.0
Tennessee,Shelby,47157,277250.0,2580.0
Texas,Brown,48049,198000.0,161.0
California,Monterey,06053,850500.0,323.0
Mississippi,Simpson,28127,96350.0,43.0
New York,Orleans,36073,155000.0,38.0
Illinois,Richland,17159,72500.0,7.0
Texas,Donley,48129,110000.0,10.0
Wisconsin,Dunn,55033,273750.0,51.0
Arizona,Yuma,04027,265430.0,402.0
Georgia,Towns,13281,315000.0,84.0
Ohio,Clinton,39027,225000.0,53.0
Alabama,Tallapoosa,01123,380000.0,137.0
Idaho,Bear Lake,16007,380000.0,34.0
Tennessee,Hickman,47081,294500.0,68.0
Kansas,Morris,20127,222000.0,7.0
North Carolina,Lee,37105,325000.0,173.0
Colorado,Las Animas,08071,281000.0,
Colorado,Teller,08119,,237.0
Arkansas,White,05145,174925.0,157.0
Indiana,Huntington,18069,168450.0,48.0
Texas,San Saba,48411,530000.0,14.0
Georgia,Clayton,13063,343000.0,14.0
Montana,Mineral,30061,388350.0,9.0
Ohio,Franklin,39049,300000.0,2138.0
Massachusetts,Middlesex,25017,770000.0,1970.0
Virginia,Franklin,51067,235000.0,
Oklahoma,Woodward,40153,110250.0,76.0
Georgia,Chatham,13051,339445.0,100.0
Washington,Whatcom,53073,640000.0,305.0
Illinois,Peoria,17143,148500.0,23.0
South Carolina,McCormick,45065,353750.0,54.0
Tennessee,Blount,47009,238250.0,2.0
Texas,Hidalgo,48215,155500.0,41.0
Minnesota,Kittson,27069,38250.0,5.0
Idaho,Ada,16001,490000.0,1635.0
Kentucky,Garrard,21079,265000.0,65.0
Arkansas,Little River,05081,225000.0,10.0
Colorado,Pueblo,08101,270000.0,21.0
Iowa,Davis,19051,152500.0,10.0
North Carolina,Halifax,37083,156000.0,57.0
Texas,Wharton,48481,248900.0,111.0
Ohio,Guernsey,39059,141000.0,86.0
Minnesota,Wright,27171,366750.0,429.0
Texas,Victoria,48469,244250.0,158.0
Oklahoma,Muskogee,40101,25000.0,3.0
Virginia,Richmond,51159,354400.0,22.0
Michigan,Livingston,26093,360000.0,383.0
Iowa,Audubon,19009,39500.0,8.0
Iowa,Carroll,19027,198750.0,37.0
Nevada,Pershing,32027,220000.0,9.0
Nebraska,Platte,31141,250000.0,58.0
Pennsylvania,Cambria,42021,89900.0,146.0
Iowa,Bremer,19017,145500.0,26.0
Wisconsin,Columbia,55021,263000.0,138.0
Pennsylvania,Montgomery,42091,335000.0,241.0
Oklahoma,Delaware,40041,355000.0,4.0
Iowa,Calhoun,19025,165000.0,8.0
Florida,Pinellas,12103,265000.0,1571.0
Georgia,Cherokee,13057,445000.0,781.0
Tennessee,Lewis,47101,242500.0,37.0
Oklahoma,Okfuskee,40107,150000.0,38.0
Ohio,Ashtabula,39007,170400.0,184.0
New York,Genesee,36037,232000.0,56.0
Arizona,Pima,04019,276000.0,214.0
Oregon,Grant,41023,263750.0,45.0
Texas,Crane,48103,194900.0,7.0
Missouri,Cass,29037,169900.0,
Tennessee,Wilson,47189,344450.0,5.0
Georgia,Bacon,13005,125000.0,11.0
Wisconsin,Sauk,55111,282000.0,172.0
Texas,Runnels,48399,160000.0,25.0
South Carolina,Greenwood,45047,120000.0,2.0
Texas,Hamilton,48193,525000.0,
Wisconsin,Kenosha,55059,267500.0,198.0
Georgia,Hart,13147,302400.0,99.0
Alabama,Coffee,01031,238450.0,173.0
Ohio,Wayne,39169,251000.0,3.0
North Carolina,Lincoln,37109,421159.0,307.0
Virginia,Essex,51057,157000.0,1.0
North Carolina,Chowan,37041,137500.0,32.0
Texas,Atascosa,48013,80000.0,5.0
North Carolina,Caldwell,37027,277000.0,182.0
Illinois,Knox,17095,95750.0,108.0
Texas,El Paso,48141,129975.0,11.0
